地区,年份,立案,结案,结案率
北京,2010,10,18,1.8
天津,2010,3,7,2.3333333333333335
河北,2010,13,7,0.5384615384615384
山西,2010,0,0,0.0
内蒙古,2010,3,3,1.0
辽宁,2010,34,29,0.8529411764705882
吉林,2010,2,2,1.0
黑龙江,2010,9,19,2.111111111111111
上海,2010,17,14,0.8235294117647058
江苏,2010,58,51,0.8793103448275862
浙江,2010,86,82,0.9534883720930233
安徽,2010,53,27,0.5094339622641509
福建,2010,32,29,0.90625
江西,2010,28,6,0.21428571428571427
山东,2010,146,70,0.4794520547945205
河南,2010,129,30,0.23255813953488372
湖北,2010,41,29,0.7073170731707317
湖南,2010,94,52,0.5531914893617021
广东,2010,145,107,0.7379310344827587
广西,2010,0,3,inf
重庆,2010,12,11,0.9166666666666666
四川,2010,22,18,0.8181818181818182
贵州,2010,3,2,0.6666666666666666
云南,2010,27,16,0.5925925925925926
西藏,2010,0,0,0.0
陕西,2010,12,12,1.0
甘肃,2010,35,17,0.4857142857142857
青海,2010,2,2,1.0
宁夏,2010,10,0,0.0
新疆,2010,48,46,0.9583333333333334
海南,2010,3,3,1.0
