地区,年份,立案,结案,结案率
北京,2016,244,229,0.9385245901639344
天津,2016,102,90,0.8823529411764706
河北,2016,640,636,0.99375
山西,2016,12,5,0.4166666666666667
内蒙古,2016,14,10,0.7142857142857143
辽宁,2016,242,234,0.9669421487603306
吉林,2016,54,54,1.0
黑龙江,2016,236,239,1.0127118644067796
上海,2016,198,198,1.0
江苏,2016,1226,1131,0.9225122349102773
浙江,2016,10135,10107,0.9972372964972867
安徽,2016,520,483,0.9288461538461539
福建,2016,169,174,1.029585798816568
江西,2016,186,171,0.9193548387096774
山东,2016,475,469,0.9873684210526316
河南,2016,671,583,0.8688524590163934
湖北,2016,495,475,0.9595959595959596
湖南,2016,554,534,0.9638989169675091
广东,2016,2734,2608,0.9539136795903438
广西,2016,34,32,0.9411764705882353
海南,2016,10,3,0.3
重庆,2016,286,284,0.993006993006993
四川,2016,644,492,0.7639751552795031
贵州,2016,67,33,0.4925373134328358
云南,2016,31,35,1.1290322580645162
西藏,2016,0,0,0.0
陕西,2016,152,157,1.0328947368421053
甘肃,2016,40,29,0.725
青海,2016,10,4,0.4
宁夏,2016,56,56,1.0
新疆,2016,114,127,1.1140350877192982
