0,1,2,3,4,5,6
"地区
Regions ",,"侵权纠纷
Infringement Dispute", ,"其他纠纷
  Other Issues", ,"查处假冒专利
        案件
  Punishment of Pass-off of Patents"
"立案
  Entertained","结案
  Closed","立案
  Entertained","结案
  Closed","结案
  Closed",,
"合计
",总累计             Accumulated Number,32714,27247,3545,3012,50842
Total,2014,7671,7640,549,548,16259
北京,总累计             Accumulated Number,661,551,224,221,619
Beijing,2014,80,66,0,0,281
天津,总累计             Accumulated Number,230,204,35,33,878
Tianjin,2014,42,41,7,7,277
河北,总累计             Accumulated Number,791,685,115,120,1215
Hebei,2014,189,212,20,25,141
山西,总累计             Accumulated Number,109,81,51,38,89
Shanxi,2014,6,0,0,0,11
内蒙古,总累计             Accumulated Number,137,124,11,11,1452
Inner Mongolia,2014,8,8,0,0,369
辽宁,总累计             Accumulated Number,416,397,197,164,1317
Liaoning,2014,17,15,19,18,398
吉林,总累计             Accumulated Number,257,244,58,50,230
Jilin,2014,39,79,2,2,28
黑龙江,总累计             Accumulated Number,497,449,219,195,550
Heilongjiang,2014,63,59,42,36,261
上海,总累计             Accumulated Number,777,742,71,72,276
Shanghai,2014,108,104,3,3,34
江苏,总累计             Accumulated Number,2055,1573,307,296,7462
Jiangsu,2014,477,484,149,158,3055
浙江,总累计             Accumulated Number,5694,5317,538,466,856
Zhejiang,2014,2963,3008,179,179,364
安徽,总累计             Accumulated Number,570,421,31,22,1276
Anhui,2014,136,113,2,0,223
福建,总累计             Accumulated Number,736,542,43,43,1613
Fujian,2014,113,65,4,4,834
江西,总累计             Accumulated Number,441,288,40,27,986
Jiangxi,2014,77,80,1,1,287
山东,总累计             Accumulated Number,2825,2296,192,183,8507
Shandong,2014,347,296,7,7,2188
河南,总累计             Accumulated Number,1883,1334,139,90,2256
Henan,2014,243,353,9,10,826
湖北,总累计             Accumulated Number,1184,959,231,178,2081
Hubei,2014,156,128,42,37,752
湖南,总累计             Accumulated Number,1163,922,303,273,7526
Hunan,2014,156,138,53,51,2606
广东,总累计             Accumulated Number,8102,6699,214,188,3070
Guangdong,2014,1811,1796,5,6,739
广西,总累计             Accumulated Number,174,148,55,38,347
Guangxi,2014,11,11,1,1,254
海南,总累计             Accumulated Number,95,87,9,8,264
Hainan,2014,4,0,0,0,32
重庆,总累计             Accumulated Number,396,358,151,43,244
Chongqing,2014,147,176,0,0,83
四川,总累计             Accumulated Number,1123,991,143,118,1782
Sichuan,2014,140,156,0,0,529
贵州,总累计             Accumulated Number,209,150,25,21,1855
Guizhou,2014,37,31,0,0,735
云南,总累计             Accumulated Number,304,245,29,22,686
Yunnan,2014,48,58,0,0,95
西藏,总累计             Accumulated Number,11,9,0,0,10
Tibet,2014,0,0,0,0,0
陕西,总累计             Accumulated Number,404,280,32,28,1499
Shaanxi,2014,79,31,1,0,384
甘肃,总累计             Accumulated Number,265,163,25,18,367
Gansu,2014,35,18,0,0,229
青海,总累计             Accumulated Number,30,26,9,10,65
Qinghai,2014,7,6,0,0,1
宁夏,总累计             Accumulated Number,183,168,27,18,122
Ningxia,2014,6,6,0,0,25
新疆,总累计             Accumulated Number,992,794,21,18,1342
Xinjiang,2014,126,102,3,3,218
