地区,年份,立案,结案,结案率
北京,2011,89,80,0.898876404494382
天津,2011,6,5,0.8333333333333334
河北,2011,21,20,0.9523809523809523
山西,2011,2,2,1.0
内蒙古,2011,28,8,0.2857142857142857
辽宁,2011,0,10,inf
吉林,2011,20,15,0.75
黑龙江,2011,16,8,0.5
上海,2011,22,18,0.8181818181818182
江苏,2011,47,39,0.8297872340425532
浙江,2011,113,79,0.6991150442477876
安徽,2011,20,34,1.7
福建,2011,25,23,0.92
江西,2011,12,8,0.6666666666666666
山东,2011,123,118,0.959349593495935
河南,2011,156,46,0.2948717948717949
湖北,2011,28,32,1.1428571428571428
湖南,2011,162,167,1.0308641975308641
广东,2011,206,144,0.6990291262135923
广西,2011,9,8,0.8888888888888888
海南,2011,0,0,0.0
重庆,2011,31,20,0.6451612903225806
四川,2011,33,34,1.0303030303030303
贵州,2011,2,2,1.0
云南,2011,21,25,1.1904761904761905
西藏,2011,0,0,0.0
陕西,2011,12,8,0.6666666666666666
甘肃,2011,18,6,0.3333333333333333
青海,2011,2,2,1.0
宁夏,2011,5,3,0.6
新疆,2011,57,55,0.9649122807017544
