地区,年份,立案,结案,结案率
北京,2015,126,107,0.8492063492063492
天津,2015,99,98,0.98989898989899
河北,2015,275,246,0.8945454545454545
山西,2015,7,1,0.14285714285714285
内蒙古,2015,9,9,1.0
辽宁,2015,46,42,0.9130434782608695
吉林,2015,40,43,1.075
黑龙江,2015,173,169,0.976878612716763
上海,2015,152,129,0.8486842105263158
江苏,2015,700,689,0.9842857142857143
浙江,2015,7981,7976,0.9993735120912166
安徽,2015,147,136,0.9251700680272109
福建,2015,160,171,1.06875
江西,2015,115,112,0.9739130434782609
山东,2015,343,317,0.924198250728863
河南,2015,202,157,0.7772277227722773
湖北,2015,99,56,0.5656565656565656
湖南,2015,225,172,0.7644444444444445
广东,2015,2490,2625,1.0542168674698795
广西,2015,27,21,0.7777777777777778
海南,2015,1,2,2.0
重庆,2015,149,146,0.9798657718120806
四川,2015,222,221,0.9954954954954955
贵州,2015,46,50,1.0869565217391304
云南,2015,64,59,0.921875
西藏,2015,0,0,0.0
陕西,2015,96,89,0.9270833333333334
甘肃,2015,47,55,1.1702127659574468
青海,2015,6,0,0.0
宁夏,2015,25,25,1.0
新疆,2015,130,117,0.9
