0,1,2,3,4,5,6
"地区
Regions ",,"侵权纠纷
Infringement Dispute", ,"其他纠纷
  Other Issues", ,"查处假冒
        他人专利行为
    Punishment of Conterfeit Patents"
"立案
  Entertained","结案
  Closed","立案
  Entertained","结案
  Closed","结案
  Closed",,
"合计
Total",总累计             Accumulated Number,18134,14777,2356,2024,16914
2011,1286,1019,27,21,1704,
北京,总累计             Accumulated Number,462,420,224,221,217
Beijing,2011,89,80,0,0,13
天津,总累计             Accumulated Number,176,151,25,23,396
Tianjin,2011,6,5,1,1,15
河北,总累计             Accumulated Number,401,373,89,89,972
Hebei,2011,21,20,1,0,9
山西,总累计             Accumulated Number,76,58,51,36,59
Shanxi,2011,2,2,0,0,3
内蒙古,总累计             Accumulated Number,117,106,10,10,785
Inner Mongolia,2011,28,8,0,0,74
辽宁,总累计             Accumulated Number,377,338,174,142,111
Liaoning,2011,0,10,0,0,0
吉林,总累计             Accumulated Number,144,138,56,48,176
Jilin,2011,20,15,0,0,2
黑龙江,总累计             Accumulated Number,400,351,117,100,126
Heilongjiang,2011,16,8,6,0,23
上海,总累计             Accumulated Number,521,506,62,64,207
Shanghai,2011,22,18,0,1,8
江苏,总累计             Accumulated Number,1089,788,129,122,1151
Jiangsu,2011,47,39,5,5,472
浙江,总累计             Accumulated Number,2038,1701,78,67,172
Zhejiang,2011,113,79,0,0,50
安徽,总累计             Accumulated Number,286,219,22,16,792
Anhui,2011,20,34,0,0,42
福建,总累计             Accumulated Number,481,375,35,32,184
Fujian,2011,25,23,0,0,54
江西,总累计             Accumulated Number,283,148,35,26,437
Jiangxi,2011,12,8,0,0,81
山东,总累计             Accumulated Number,1988,1604,155,145,4013
Shandong,2011,123,118,1,0,223
河南,总累计             Accumulated Number,1196,743,116,76,650
Henan,2011,156,46,9,9,26
湖北,总累计             Accumulated Number,720,630,187,139,575
Hubei,2011,28,32,2,3,74
湖南,总累计             Accumulated Number,792,680,230,204,1183
Hunan,2011,162,167,5,2,191
广东,总累计             Accumulated Number,3944,3274,195,176,1232
Guangdong,2011,206,144,1,1,49
广西,总累计             Accumulated Number,155,133,54,37,23
Guangxi,2011,9,8,0,0,0
海南,总累计             Accumulated Number,88,86,9,8,143
Hainan,2011,0,0,0,0,28
重庆,总累计             Accumulated Number,93,68,5,1,96
Chongqing,2011,31,20,0,0,15
四川,总累计             Accumulated Number,785,678,136,111,574
Sichuan,2011,33,34,0,0,28
贵州,总累计             Accumulated Number,148,108,25,21,760
Guizhou,2011,2,2,0,0,114
云南,总累计             Accumulated Number,215,184,29,22,183
Yunnan,2011,21,25,0,0,3
西藏,总累计             Accumulated Number,11,9,0,0,10
Tibet,2011,0,0,0,0,0
陕西,总累计             Accumulated Number,187,140,29,27,688
Shaanxi,2011,12,8,0,0,13
甘肃,总累计             Accumulated Number,189,108,25,18,19
Gansu,2011,18,6,0,0,13
青海,总累计             Accumulated Number,19,17,9,10,64
Qinghai,2011,2,2,0,0,0
宁夏,总累计             Accumulated Number,173,162,27,18,82
Ningxia,2011,5,3,0,0,0
新疆,总累计             Accumulated Number,580,481,18,15,820
Xinjiang,2011,57,55,1,1,67
