0,1,2,3,4,5,6,7,8,9
　, ,"发明
      Invention", ,"实用新型
      Utility Model", ,"外观设计
      Design", ,"合计
      Total", 
"数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %",,
"合计
      Total","受理量
      Application",2849906,32.9%,2997243,34.6%,2818679,32.5%,8665828,100.0%
"授权量
  Grant",893866,18.4%,2121216,43.7%,1842790,37.9%,4857872,100.0%,
"有效量*
      In Force ",696939,25.4%,1120596,40.9%,922371,33.7%,2739906,100.0%,
"国内
      Domestic","受理量
      Application",1843959,24.6%,2976278,39.7%,2679800,35.7%,7500037,86.5%
"授权量
  Grant",448481,10.5%,2104551,49.3%,1715301,40.2%,4268333,87.9%,
"有效量
In Force",351288,15.3%,1109958,48.2%,841769,36.6%,2303015,84.1%,
"国外
      Foreign","受理量
      Application",1005947,86.3%,20965,1.8%,138879,11.9%,1165791,13.5%
"授权量
  Grant",445385,75.5%,16665,2.8%,127489,21.6%,589539,12.1%,
"有效量
In Force",345651,79.1%,10638,2.4%,80602,18.4%,436891,15.9%,
