地区,年份,立案,结案,结案率
北京,2013,75,43,0.5733333333333334
天津,2013,6,6,1.0
河北,2013,155,84,0.5419354838709678
山西,2013,23,19,0.8260869565217391
内蒙古,2013,4,4,1.0
辽宁,2013,15,13,0.8666666666666667
吉林,2013,51,2,0.0392156862745098
黑龙江,2013,27,19,0.7037037037037037
上海,2013,99,96,0.9696969696969697
江苏,2013,385,268,0.6961038961038961
浙江,2013,376,315,0.8377659574468085
安徽,2013,101,70,0.693069306930693
福建,2013,93,74,0.7956989247311828
江西,2013,54,51,0.9444444444444444
山东,2013,296,275,0.9290540540540541
河南,2013,227,165,0.7268722466960352
湖北,2013,220,164,0.7454545454545455
湖南,2013,124,82,0.6612903225806451
广东,2013,1851,1399,0.7558076715289033
广西,2013,6,4,0.6666666666666666
海南,2013,2,1,0.5
重庆,2013,94,45,0.4787234042553192
四川,2013,104,76,0.7307692307692307
贵州,2013,8,7,0.875
云南,2013,27,2,0.07407407407407407
西藏,2013,0,0,0.0
陕西,2013,73,85,1.1643835616438356
甘肃,2013,28,25,0.8928571428571429
青海,2013,0,0,0.0
宁夏,2013,0,0,0.0
新疆,2013,160,142,0.8875
