0,1,2,3,4,5,6,7,8,9
"地区
regions ",,"侵权纠纷
infringement dispute", ,"其他纠纷
  other issues", ,"查处冒充
        专利行为
  punishment of pass-off of patents", ,"查处假冒
        他人专利行为
    punishment of conterfeit patents", 
"立案
  entertained","结案
  closed","立案
  entertained","结案
  closed","立案
  entertained","结案
  closed","立案
  entertained","结案
  closed",,
"合计
total",总累计             accumulated number,15771,13046,2311,1989,14366,13739,760,743
2009,937,741,26,17,548,548,30,30,
北京,总累计             accumulated number,363,322,223,221,196,191,5,7
beijing,2009,21,31,1,0,0,0,0,0
天津,总累计             accumulated number,167,139,24,22,360,360,7,5
tianjin,2009,14,9,0,0,3,3,0,0
河北,总累计             accumulated number,367,346,88,89,929,928,33,33
hebei,2009,16,17,0,1,4,4,0,0
山西,总累计             accumulated number,74,56,51,36,42,38,19,18
shanxi,2009,0,0,6,0,0,0,0,0
内蒙古,总累计             accumulated number,86,95,10,10,679,679,21,21
inner mongolia,2009,5,5,0,0,11,11,18,18
辽宁,总累计             accumulated number,343,299,174,142,48,48,17,17
liaoning,2009,8,8,6,6,4,4,0,0
吉林,总累计             accumulated number,122,121,56,48,167,167,5,5
jilin,2009,8,8,0,0,0,0,0,0
黑龙江,总累计             accumulated number,375,324,111,100,94,94,5,6
heilongjiang,2009,3,3,0,0,9,9,1,1
上海,总累计             accumulated number,482,474,62,63,193,190,6,6
shanghai,2009,10,23,0,2,6,6,0,0
江苏,总累计             accumulated number,984,698,123,116,549,549,76,76
jiangsu,2009,103,87,0,0,2,2,0,0
浙江,总累计             accumulated number,1839,1540,77,66,81,80,12,10
zhejiang,2009,62,29,0,0,2,2,3,3
安徽,总累计             accumulated number,213,158,19,15,761,698,3,3
anhui,2009,50,16,0,0,1,1,0,0
福建,总累计             accumulated number,424,323,35,32,90,85,7,7
fujian,2009,20,16,0,0,3,3,0,0
江西,总累计             accumulated number,243,134,35,26,400,327,7,7
jiangxi,2009,5,3,0,0,82,82,0,0
山东,总累计             accumulated number,1719,1416,154,145,3762,3565,149,144
shandong,2009,168,110,3,2,93,93,0,0
河南,总累计             accumulated number,911,667,104,64,563,561,48,47
henan,2009,53,54,7,3,9,9,0,0
湖北,总累计             accumulated number,651,569,182,133,452,434,21,20
hubei,2009,41,58,0,2,18,18,0,0
湖南,总累计             accumulated number,536,461,225,202,888,888,35,35
hunan,2009,43,41,1,0,114,114,2,2
广东,总累计             accumulated number,3593,3023,193,174,966,943,171,169
guangdong,2009,151,98,0,0,22,22,3,3
广西,总累计             accumulated number,146,122,54,37,23,23,0,0
guangxi,2009,3,1,0,0,0,0,0,0
重庆,总累计             accumulated number,50,37,5,1,78,77,4,4
chongqing,2009,1,0,0,0,0,0,0,0
四川,总累计             accumulated number,730,626,136,111,472,469,55,53
sichuan,2009,32,30,0,0,42,42,2,2
贵州,总累计             accumulated number,143,104,25,21,586,547,3,2
guizhou,2009,0,0,0,0,88,88,0,0
云南,总累计             accumulated number,167,143,29,22,168,168,12,12
yunnan,2009,19,8,1,0,5,5,1,1
西藏,总累计             accumulated number,11,9,0,0,7,7,3,3
tibet,2009,0,0,0,0,0,0,0,0
陕西,总累计             accumulated number,163,120,29,25,677,675,0,0
shaanxi,2009,19,4,0,1,0,0,0,0
甘肃,总累计             accumulated number,136,85,25,18,6,5,2,1
gansu,2009,12,2,0,0,0,0,0,0
青海,总累计             accumulated number,15,13,9,10,62,62,1,1
qinghai,2009,0,0,0,0,0,0,0,0
宁夏,总累计             accumulated number,158,159,27,18,80,80,2,2
ningxia,2009,16,17,1,0,0,0,0,0
新疆,总累计             accumulated number,475,380,17,14,905,719,14,12
xinjiang,2009,54,63,0,0,7,7,0,0
海南,总累计             accumulated number,85,83,9,8,82,82,17,17
hainan,2009,0,0,0,0,23,23,0,0
