0,1,2,3,4,5,6,7,8,9
　, ,"发明
      invention", ,"实用新型
      utility model", ,"外观设计
      design", ,"合计
      total", 
"数量
      number","构成
      %","数量
      number","构成
      %","数量
      number","构成
      %","数量
      number","构成
      %",,
"合计
      total","申请量
      application",1935827,33.2%,2005520,34.4%,1881182,32.3%,5822529,100.0%
"授权量
  grant",586643,19.0%,1368634,44.4%,1127257,36.6%,3082534,100.0%,
"有效量*
      in force ",438036,28.8%,565804,37.2%,516183,34.0%,1520023,100.0%,
"国内
      domestic","申请量
      application",1138574,23.2%,1991317,40.7%,1768382,36.1%,4898273,84.1%
"授权量
  grant",256367,9.7%,1357209,51.3%,1030276,39.0%,2643852,85.8%,
"有效量
in force",180042,15.1%,558791,46.8%,454277,38.1%,1193110,78.5%,
"国外
      foreign","申请量
      application",797253,86.3%,14203,1.5%,112800,12.2%,924256,15.9%
"授权量
  grant",330276,75.3%,11425,2.6%,96981,22.1%,438682,14.2%,
"有效量
in force",257994,78.9%,7013,2.1%,61906,18.9%,326913,21.5%,
