0,1,2,3,4,5,6,7,8,9
　, ,"发明
      Invention", ,"实用新型
      Utility Model", ,"外观设计
      Design", ,"合计
      Total", 
"数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %",,
"合计
      Total","申请量
      Application",3502683,32.7%,3737533,34.9%,3476261,32.4%,10716477,100.0%
"授权量
  Grant",1110971,18.2%,2692391,44.0%,2309648,37.8%,6113010,100.0%,
"有效量*
      In Force ",875385,24.9%,1501044,42.8%,1132132,32.3%,3508561,100.0%,
"国内
      Domestic","申请量
      Application",2379272,25.3%,3710715,39.4%,3322201,35.3%,9412188,87.8%
"授权量
  Grant",592328,10.9%,2671301,49.2%,2167930,39.9%,5431559,88.9%,
"有效量
In Force",472645,15.7%,1487034,49.5%,1045288,34.8%,3004967,85.6%,
"国外
      Foreign","申请量
      Application",1123411,86.1%,26818,2.1%,154060,11.8%,1304289,12.2%
"授权量
  Grant",518643,76.1%,21090,3.1%,141718,20.8%,681451,11.1%,
"有效量
In Force",402740,80.0%,14010,2.8%,86844,17.2%,503594,14.4%,
