0,1,2,3,4,5,6
"地区
Regions ",,"侵权纠纷
Infringement Dispute", ,"其他纠纷
  Other Issues", ,"查处假冒
        专利案件
    Punishment of Conterfeit Patents"
"立案
  Entertained","结案
  Closed","立案
  Entertained","结案
  Closed","结案
  Closed",,
"合计
Total",总累计             Accumulated Number,20359,16071,2624,2116,23412
 ,2012,2225,1294,268,92,6512
北京,总累计             Accumulated Number,506,442,224,221,241
Beijing,2012,44,22,0,0,24
天津,总累计             Accumulated Number,182,157,26,24,466
Tianjin,2012,6,6,1,1,70
河北,总累计             Accumulated Number,447,389,89,89,987
Hebei,2012,46,16,0,0,15
山西,总累计             Accumulated Number,80,62,51,37,70
Shanxi,2012,4,4,0,1,11
内蒙古,总累计             Accumulated Number,125,112,11,11,872
Inner Mongolia,2012,8,6,1,1,87
辽宁,总累计             Accumulated Number,384,369,175,143,529
Liaoning,2012,7,31,1,1,418
吉林,总累计             Accumulated Number,167,163,56,48,193
Jilin,2012,23,25,0,0,17
黑龙江,总累计             Accumulated Number,407,371,118,101,147
Heilongjiang,2012,7,20,1,1,21
上海,总累计             Accumulated Number,570,542,68,69,220
Shanghai,2012,49,36,6,5,13
江苏,总累计             Accumulated Number,1193,821,129,122,2428
Jiangsu,2012,104,33,0,0,1277
浙江,总累计             Accumulated Number,2355,1994,140,68,301
Zhejiang,2012,317,293,62,1,129
安徽,总累计             Accumulated Number,333,238,24,17,884
Anhui,2012,47,19,2,1,92
福建,总累计             Accumulated Number,530,403,37,37,348
Fujian,2012,49,28,2,5,164
江西,总累计             Accumulated Number,310,157,35,26,533
Jiangxi,2012,27,9,0,0,96
山东,总累计             Accumulated Number,2182,1725,168,159,4861
Shandong,2012,194,121,13,14,848
河南,总累计             Accumulated Number,1413,816,127,80,732
Henan,2012,217,73,11,4,82
湖北,总累计             Accumulated Number,808,667,188,140,837
Hubei,2012,88,37,1,1,262
湖南,总累计             Accumulated Number,883,702,242,216,2521
Hunan,2012,91,22,12,12,1338
广东,总累计             Accumulated Number,4440,3504,203,178,1896
Guangdong,2012,496,230,8,2,664
广西,总累计             Accumulated Number,157,133,54,37,44
Guangxi,2012,2,0,0,0,21
海南,总累计             Accumulated Number,89,86,9,8,179
Hainan,2012,1,0,0,0,36
重庆,总累计             Accumulated Number,155,137,151,43,116
Chongqing,2012,62,69,146,42,20
四川,总累计             Accumulated Number,879,759,136,111,829
Sichuan,2012,94,81,0,0,255
贵州,总累计             Accumulated Number,164,112,25,21,765
Guizhou,2012,16,4,0,0,5
云南,总累计             Accumulated Number,229,185,29,22,518
Yunnan,2012,14,1,0,0,335
西藏,总累计             Accumulated Number,11,9,0,0,10
Tibet,2012,0,0,0,0,0
陕西,总累计             Accumulated Number,252,164,30,27,797
Shaanxi,2012,65,24,1,0,109
甘肃,总累计             Accumulated Number,202,120,25,18,19
Gansu,2012,13,12,0,0,0
青海,总累计             Accumulated Number,23,20,9,10,64
Qinghai,2012,4,3,0,0,0
宁夏,总累计             Accumulated Number,177,162,27,18,84
Ningxia,2012,4,0,0,0,2
新疆,总累计             Accumulated Number,706,550,18,15,921
Xinjiang,2012,126,69,0,0,101
