地区,年份,立案,结案,结案率
北京,2009,21,31,1.4761904761904763
天津,2009,14,9,0.6428571428571429
河北,2009,16,17,1.0625
山西,2009,0,0,0.0
内蒙古,2009,5,5,1.0
辽宁,2009,8,8,1.0
吉林,2009,8,8,1.0
黑龙江,2009,3,3,1.0
上海,2009,10,23,2.3
江苏,2009,103,87,0.8446601941747572
浙江,2009,62,29,0.46774193548387094
安徽,2009,50,16,0.32
福建,2009,20,16,0.8
江西,2009,5,3,0.6
山东,2009,168,110,0.6547619047619048
河南,2009,53,54,1.0188679245283019
湖北,2009,41,58,1.4146341463414633
湖南,2009,43,41,0.9534883720930233
广东,2009,151,98,0.6490066225165563
广西,2009,3,1,0.3333333333333333
重庆,2009,1,0,0.0
四川,2009,32,30,0.9375
贵州,2009,0,0,0.0
云南,2009,19,8,0.42105263157894735
西藏,2009,0,0,0.0
陕西,2009,19,4,0.21052631578947367
甘肃,2009,12,2,0.16666666666666666
青海,2009,0,0,0.0
宁夏,2009,16,17,1.0625
新疆,2009,54,63,1.1666666666666667
海南,2009,0,0,0.0
