地区,年份,立案,结案,结案率
北京,2018,297,304,1.0235690235690236
天津,2018,121,116,0.9586776859504132
河北,2018,809,695,0.8590852904820766
山西,2018,43,35,0.813953488372093
内蒙古,2018,22,30,1.3636363636363635
辽宁,2018,608,610,1.0032894736842106
吉林,2018,136,132,0.9705882352941176
黑龙江,2018,383,368,0.9608355091383812
上海,2018,260,244,0.9384615384615385
江苏,2018,2078,1997,0.9610202117420596
浙江,2018,13013,13043,1.0023053869207716
安徽,2018,1162,1089,0.9371772805507745
福建,2018,1105,1047,0.9475113122171945
江西,2018,164,51,0.31097560975609756
山东,2018,1475,1452,0.984406779661017
河南,2018,1682,1736,1.0321046373365041
湖北,2018,781,708,0.9065300896286812
湖南,2018,932,859,0.9216738197424893
广东,2018,3974,3868,0.9733266230498239
广西,2018,66,66,1.0
海南,2018,6,2,0.3333333333333333
重庆,2018,472,472,1.0
四川,2018,3037,3028,0.9970365492262101
贵州,2018,17,21,1.2352941176470589
云南,2018,39,34,0.8717948717948718
西藏,2018,0,0,0.0
陕西,2018,190,150,0.7894736842105263
甘肃,2018,350,327,0.9342857142857143
青海,2018,0,0,0.0
宁夏,2018,37,31,0.8378378378378378
新疆,2018,717,741,1.0334728033472804
新疆兵团,2017,0,0,0.0
