地区,年份,立案,结案,结案率
北京,2008,42,27,0.6428571428571429
天津,2008,10,8,0.8
河北,2008,19,16,0.8421052631578947
山西,2008,3,2,0.6666666666666666
内蒙古,2008,10,9,0.9
辽宁,2008,11,10,0.9090909090909091
吉林,2008,0,0,0.0
黑龙江,2008,0,0,0.0
上海,2008,14,27,1.9285714285714286
江苏,2008,85,33,0.38823529411764707
浙江,2008,84,63,0.75
安徽,2008,19,4,0.21052631578947367
福建,2008,39,27,0.6923076923076923
江西,2008,16,14,0.875
山东,2008,182,146,0.8021978021978022
河南,2008,104,55,0.5288461538461539
湖北,2008,49,37,0.7551020408163265
湖南,2008,75,59,0.7866666666666666
广东,2008,199,198,0.9949748743718593
广西,2008,3,11,3.6666666666666665
重庆,2008,3,1,0.3333333333333333
四川,2008,31,30,0.967741935483871
贵州,2008,5,2,0.4
云南,2008,8,4,0.5
西藏,2008,0,0,0.0
陕西,2008,12,7,0.5833333333333334
甘肃,2008,9,4,0.4444444444444444
青海,2008,0,0,0.0
宁夏,2008,3,6,2.0
新疆,2008,56,38,0.6785714285714286
海南,2008,1,0,0.0
