地区,年份,立案,结案,结案率
北京,2012,44,22,0.5
天津,2012,6,6,1.0
河北,2012,46,16,0.34782608695652173
山西,2012,4,4,1.0
内蒙古,2012,8,6,0.75
辽宁,2012,7,31,4.428571428571429
吉林,2012,23,25,1.0869565217391304
黑龙江,2012,7,20,2.857142857142857
上海,2012,49,36,0.7346938775510204
江苏,2012,104,33,0.3173076923076923
浙江,2012,317,293,0.9242902208201893
安徽,2012,47,19,0.40425531914893614
福建,2012,49,28,0.5714285714285714
江西,2012,27,9,0.3333333333333333
山东,2012,194,121,0.6237113402061856
河南,2012,217,73,0.33640552995391704
湖北,2012,88,37,0.42045454545454547
湖南,2012,91,22,0.24175824175824176
广东,2012,496,230,0.4637096774193548
广西,2012,2,0,0.0
海南,2012,1,0,0.0
重庆,2012,62,69,1.1129032258064515
四川,2012,94,81,0.8617021276595744
贵州,2012,16,4,0.25
云南,2012,14,1,0.07142857142857142
西藏,2012,0,0,0.0
陕西,2012,65,24,0.36923076923076925
甘肃,2012,13,12,0.9230769230769231
青海,2012,4,3,0.75
宁夏,2012,4,0,0.0
新疆,2012,126,69,0.5476190476190477
